id,name,category,old_type,total_change,gain_at_peak,drawdown,retrace,peak_pos,volatility,momentum,linearity,cluster
188,學生制服,衣著類,hot,29.16,29.16,0.0,0.0,1.0,0.84,4.18,0.944,0
189,男鞋,衣著類,normal,4.8,5.91,1.04,0.187,0.892,1.36,-0.91,0.704,0
190,女鞋,衣著類,normal,8.56,9.63,0.97,0.111,0.683,1.83,1.0,0.659,0
191,童鞋,衣著類,falling,-3.25,0.31,3.55,1.5,0.083,1.84,0.5,0.429,4
192,洗衣(鞋)工資,衣著類,hot,27.41,27.41,0.0,0.0,1.0,1.03,4.07,0.911,0
193,其他衣著服務(男、女裝定製工資、衣著修補費等),衣著類,hot,44.26,44.26,0.0,0.0,1.0,1.0,4.03,0.967,2
194,其他配件(帽子、皮帶等),衣著類,normal,2.8,6.32,3.3,0.556,0.792,1.32,-1.45,0.592,0
195,住宅租金,居住類,hot,15.41,15.41,0.0,0.0,1.0,0.31,2.01,0.939,0
196,學校住宿費,居住類,normal,8.76,8.76,0.0,0.0,1.0,0.42,2.24,0.885,0
197,門窗設備,居住類,hot,56.29,56.29,0.0,0.0,1.0,2.77,4.44,0.887,2
198,衛浴器材,居住類,hot,19.72,19.72,0.0,0.0,1.0,0.92,0.53,0.909,0
199,塗料,居住類,hot,15.04,15.04,0.0,0.0,1.0,1.29,0.39,0.819,0
200,其他維修材料(室內裝潢、地板鋪設材料等),居住類,hot,22.27,22.27,0.0,0.0,1.0,1.41,1.22,0.883,0
201,油漆工資,居住類,hot,19.59,19.59,0.0,0.0,1.0,0.57,2.02,0.937,0
202,水電工工資,居住類,hot,23.76,23.76,0.0,0.0,1.0,0.92,3.57,0.928,0
203,其他工資(泥水工工資、木工工資等),居住類,hot,20.91,20.91,0.0,0.0,1.0,0.88,0.75,0.91,0
204,床包(罩)組、毯子及涼被,居住類,normal,8.78,9.41,0.57,0.067,0.917,1.22,-0.54,0.907,0
205,枕頭、被胎,居住類,normal,7.07,7.07,0.0,0.0,1.0,1.15,1.71,0.855,0
206,毛巾,居住類,normal,3.8,6.34,2.4,0.402,0.792,1.85,0.07,0.55,0
